,id,type,address,number,postal_code,municipality,province,public,available,hours,latitude,longitude
15373,15453.0,Appareil Fixe-Vast Apparaat,Ellermanstrat,33.0,2000,Antwerpen,Antwerpen,Yes,No,8U - 18U,,
15374,15454.0,Appareil Fixe-Vast Apparaat,Noorderplaats,2.0,2000,Antwerpen,Antwerpen,Yes,No,8U - 18U,51.22944565,4.412577832276774
15375,15455.0,Appareil Fixe-Vast Apparaat,Hogent - Buchtenstraat,9.0,9000,Gent,Oost-Vlaanderen,No,No,Tijdens De Openingsuren En Bij Bezetting Van Het Atelier,,
15376,,Appareil Fixe-Vast Apparaat,Kapiteinstraat,55.0,9000,Gent,Oost-Vlaanderen,Yes,Yes,,51.0871763,3.7235197
15377,15456.0,Appareil Fixe-Vast Apparaat,Nonnemeersstraat,,9000,Gent,Oost-Vlaanderen,No,No,Openingsuren Gebouw,51.0438718,3.7136651
15378,15457.0,Appareil Fixe-Vast Apparaat,Gmrce- Nonnemeersstraat,24.0,9000,Gent,Oost-Vlaanderen,No,No,Openingsuren Gebouw-Toegang Met Badge,,
15379,15458.0,Appareil Fixe-Vast Apparaat,Schaliehoevestraat,12.0,2220,Heist-op-den-Berg,Antwerpen,No,Yes,,51.0564627,4.69937549876453
15380,15459.0,Appareil Fixe-Vast Apparaat,Schaliehoevestraat,12.0,2220,Heist-op-den-Berg,Antwerpen,No,Yes,,51.0564627,4.69937549876453
15381,15460.0,Appareil Fixe-Vast Apparaat,Vervoortplaats,17.0,3290,Diest,Vlaams-Brabant,Yes,No,Van 10H Tot23H Toegankelijk Voor Iedereen,50.980599049999995,5.059976947010986
15382,15461.0,Appareil Fixe-Vast Apparaat,Romeynsweel,8.0,2030,Antwerpen,Antwerpen,No,No,Ma- Vrij Van 08U00 Tot 17U00,51.26940045,4.389725732808945
15383,15462.0,Appareil Fixe-Vast Apparaat,Chaussée De Liège,622.0,5100,Namur,Namur,No,No,De 9H Au 16H,50.4633604,4.906714497821369
15384,15463.0,Appareil Fixe-Vast Apparaat,Rue De La Perche,22.0,7340,Colfontaine,Hainaut (le),No,No,Lun-Ven 07H30-16H00,50.4106978,3.855088
15385,15464.0,Appareil Fixe-Vast Apparaat,Kortenberglaan,71.0,1000,Saint-Josse-ten-Noode,,No,Yes,,50.8444557,4.3889944
15386,15464.0,Appareil Fixe-Vast Apparaat,Kortenberglaan,71.0,1000,Ixelles,,No,Yes,,50.8444557,4.3889944
15387,15464.0,Appareil Fixe-Vast Apparaat,Kortenberglaan,71.0,1000,Bruxelles,,No,Yes,,50.8444557,4.3889944
15388,15466.0,Appareil Fixe-Vast Apparaat,Markt,38.0,3680,Maaseik,Limburg,Yes,Yes,,51.0950097,5.7909522
